gold	backtranslated
I'm sure that he'll come to the party.	I'm sure he'
I told him but he didn't understand.	I told him, but he didn'
All of them are not present.	They're all not
Mike is the youngest in his family.	Mike is the youngest in his family
I don't like her manner.	I don't like her behavior
I had no idea that Tom was going to leave me his estate.	I had no idea Tom was going to leave me at his
Tom pointed down at his shoes.	Tom pointed to his shoes.
I think he's competent.	I think he's
It will go hard with him if he is found out.	It would go hard with him if he
Tom deserves his freedom.	Tom deserves his freedom.
Look toward her.	Look at her
Tom is well respected in his community.	Tom is very respected in his
Tom and Mary started taking their lunches together in the park.	Tom and Mary started eating together in
He made her a new coat.	He made her a new coat
I will not blame him for the accident.	I won't blame him for
He did the work on his own.	He did the work himself.
Tom said he saw Mary sitting in the park by herself.	Tom said he saw Mary sitting in the park alone
I agreed with her.	I agreed with
Tom repeated what he had just said.	Tom repeated what he said.
I spoke with him about a math problem.	I talked to him about a
It's not that I seriously like him. I just find him very attractive.	It's not that I really like him. I just find him
I was astonished that she had done it.	I was amazed she did it.
Tom hoped that Mary would like the gift he bought her.	Tom was hoping Mary would want the gift he bought
I could not understand anything he said.	I couldn't understand anything he said.
I don't know the reason for her absence.	I don't know why she's gone
She admired him.	She adored him.
He left all his property to his wife in his will.	He left everything he owned to his wife in his will
Those fated to meet will do so regardless of distance. Those not fated will not, even if they are across from one another.	Those who are meant to meet will do so regardless of the distance, those who do not will not do so, even if
Tom doesn't want to miss his flight.	Tom doesn't want to miss his
Children are to obey their parents.	Children should obey their parents.
He asked me if I knew her telephone number.	He asked me if I knew her phone number.
I have to love him.	I have to love him
I heard him gasp.	I heard him breathing.
He openly confessed his faults.	He openly admitted his faults.
Tom said he wasn't scared.	Tom said he wasn't
If Tom heard you talk that way, he'd be disappointed.	If Tom heard you talking like that, he'd be
Nobody knows what it is that has been bothering him so much.	No one knows what's bothering him so
She failed in her attempt to swim the Channel.	She failed to swim in a
Don't tell him that, please!	Don't tell him that, please
Had you all been fighting when she left?	Did you all fight when she left
I took him to be an honest man.	I took him for an honest
And he's gonna get away with it?	And he'll get
He presented her with a doll.	He introduced her to a
It is definite that he will go to America.	It's obvious he'
Few people know how to use an enemy's weapon against him.	Few people know how to use enemy weapons against
Tom is cheating on his wife.	Tom is cheating on his
We have to use every means to persuade him.	We need to use all means to convince him
If a porter carries your luggage, don't forget to tip him.	If a doorman carries your luggage, don't forget to tip
He was a great teacher so his children were very obedient.	He was a wonderful teacher, so his children obeyed him greatly
My daughter is cutting her permanent teeth.	My daughter cuts her permanent teeth.
I forced him to go.	I made him go
She hinted that she might study abroad.	She implied she might be studying abroad.
Is he really coming?	Is he really
Tom has had his leg in a cast for a few weeks now.	Tom's had a leg in a cast for
His work done, he appeared to be satisfied.	His job's done. He seems
I asked him to watch my things.	I asked him to keep my things
Tom might be better at French than you think he is.	Tom could be better at French than you think he is
Tom admitted that he had stolen the money.	Tom admitted he stole the money.
I'm looking for Tom. You don't know where he is, do you?	You don't know where he is
That was very careless of them.	That was very careless of them.
Tom covered his nose and mouth with his handkerchief.	Tom covered his nose and his mouth in his handkerchief.
I thanked Tom for his advice.	I thanked Tom for his advice.
I'm having problems with them.	I have problems with them
Tom grabbed the gun away from Mary before she could kill herself.	Tom took the gun from Mary before she could kill herself.
Tom pulled into his parking space and got out.	Tom went into his parking lot and
Everywhere he stopped, the people welcomed him warmly.	Wherever he stopped, the people warmly welcomed him
The furniture in his office is very modern.	The furniture in his office is very
He has his fingers on the table.	His fingers are on the
We cannot but wonder at his skill in skiing.	We can't help but wonder about his ski skills.
She did it while she was drunk.	She did it while she was drunk.
Tom was about to be shot, but he didn't know it.	Tom was gonna get shot, but he didn't know
I tried to avoid him as much as possible.	I tried to avoid him as
I don't manage their company.	I don't run their company
Mary has her problems.	Mary has her problems.
I was fortunate to make his acquaintance.	I was lucky to meet him
A tuft of hair showed from underneath her cap.	A head of hair that was displayed under her hat.
I don't know where Tom put his umbrella.	I don't know where Tom put his umbrella.
I told you they'd miss us.	I told you they'd miss us.
It was not clear whether they had accomplished it or not.	It wasn't clear if they had it or not
I need to find her.	I need to find her
Don't let them win.	Don't let them
Did he come by bus or by train?	Did he come by bus or
The novels he wrote are interesting.	The novels he wrote are interesting
How much money does he make a month?	How much money does he make
He ought to be ashamed of his ignorance.	He should be ashamed of his ignorance
Keep off the religious issue when talking with him.	Step away from the religious issue when you talk to him
Her mother has made her what she is.	Emma made her what she is
Why isn't he sitting with me anymore?	Why doesn't he sit with
That's why he got angry.	That's why he got
You must stop him.	You have to stop him
She's her daughter.	She's her
Did you notice that he left home?	Did you notice he moved out?
This plane is his.	This plane is his
A lot of people who have up until now been spending money having a good time now need to be more careful with their money.	A lot of people who have by now been spending money having a good time now should be more careful with
The police used Tom's daughter, Mary, to draw him out of his hiding.	The police used Tom's daughter, Mary, to pull him out of
It is not true that both of the parents tried hard in search of their daughter.	It is not true that both parents tried hard to find their daughter
Tom never covers his mouth when he sneezes.	Tom never covers his mouth when he sneezes.
Why is she so quiet?	Why is she so quiet?
