sentence	direct_object	indirect_object
I couldn't call myself his friend if I weren't willing to do the same.	his friend	myself
Just trying to save us all some paperwork.	all some paperwork	us
"Master, may I ask you a question?"	a question	you
And our regulars would like to wish a warm welcome...  ...to all you virgins!	a warm welcome	to all you virgins
Put it on the floor...  and slide it to me.	it	to me
I can prove it to you.	it	to you
What does he do to them?	What	to them
We could build ourselves a sugar nest	a sugar nest	ourselves
I don't wanna give her a complex.	a complex	her
They always give you that little look.	that little look	you
"Well, I'll show you what of it."	what of it	you
So she offered us the job and I just took it.	the job	us
So don't tell me that.	that	me
I've given my account to her.	my account	to her
Ramsley will show you to your rooms.	you	to your rooms
You Give me a copy.	a copy	me
You got yourself some stock there.	some stock	yourself
You taught me that.	that	me
You owe me 500 pushups apiece.	500 pushups	me
Why didn't you say good-bye to me at the pool?	good - bye	to me
"Come on, Steve, buy her the radio, it's on sale."	the radio	her
I taught him that!	that	him
I'm gonna send you photos and fingerprints on 'em.	photos and fingerprints	you
"And that was the point of the gun:  to tell William the incredible news  that his little electrical ""Ss"" have gone over a hill."	"the incredible news   that his little electrical "" Ss "" have gone over a hill"	William
He shows you his butterfly collection...  ...plus the killing jar.	his butterfly collection ...   ... plus the killing jar	you
I suggest you say something before you embarrass this poor man to death.	this poor man	to death
What you get is that we don't turn you in to the police	you	to the police
"Okay, show me a difference, people."	"a difference , people"	me
Andy will give you 2 movies and a painting	2 movies and a painting	you
"J.R., I wanted to give you my answer on the OLM."	my answer on the OLM	you
"Your Majesty, I bring you your brother's humble greetings...  ...and his hopes that you will enjoy the boar hunting here in Zenda."	your brother 's humble greetings	you
After he died...  ...the Oracle prophesied his return...  ...and that his coming would hail the destruction of the Matrix...  ...end the war...  ...bring freedom to our people.	freedom	to our people
"When they found Carbone in the meat truck, he was frozen so stiff...  ...it took them two days to thaw him out for the autopsy."	two days	them
Only the shooters wear them things.	things	them
Shall we give it one more time for the	one more time	it
"They owed me some cash,"	some cash	me
"No, I will not give you time off to go win the Open."	time	you
I said give her the $10.	the $ 10	her
They sang together and prayed together every Saturday night...  and that give 'em the strength to get through the week...  even though they didn't seem to be getting anywhere.	the strength to get through the week	'em
"Pazuzu, prince of the evil spirits of the air, take me to Kokumo."	me	to Kokumo
She gave me her phone number.	her phone number	me
Should I wear this shirt to the party?	this shirt	to the party
So...you asked me a question a couple of days ago.	a question	me
"Signed the dotted line, they sent me to my office."	me	to my office
Let me just buy you a beer.	a beer	you
We have a helicopter on its way to take you both to a safe location.	you	to a safe location
I told you that.	that	you
I told you that.	that	you
"No, I told you that."	that	you
Why would you tell me my own story?	my own story	me
I'd only tell you mine.	mine	you
You're giving me this car?	this car	me
I'll call you a cab.	a cab	you
This is Dr Crane signing off and wishing you good mental health.	good mental health	you
I'll send a warning to parents before more children see Terrance and Phillip.	a warning	to parents
"Right, 'cause I only have three sisters, and I've only known you my entire life, so..."	my entire life	you
As a token of gratitude the government gave me this tusk.	this tusk	me
I buy alI the drinks.	the drinks	alI
We're moving him to the hospital in	him	to the hospital
"Oh quick, show me the potty, Darling."	"the potty , Darling"	me
"Okay, don't tell your mom, but I got you guys some presents."	some presents	you guys
But he got me this.	this	me
"However, I don't need to remind you the pleasure of such an acquaintance."	the pleasure of such an acquaintance	you
Steve's dad just gave it to him for his birthday.	it	to him
Give us the women?	the women	us
"Well, always good to see you Cecil."	Cecil	you
"Of course, I didn't tell him anything."	anything	him
"Bike's running, he's telling you a story."	a story	you
"Well, Goldie, uh, let me ask you this"	this	you
Can you give me any idea what your report will be on those gloves?	any idea what your report will be on those gloves	me
"They were sending pounds of it back to the States, using military supply lines."	pounds of it	to the States
I handed you the Gotti detail in New York?	the Gotti detail in New York	you
Then give me the Rod!	the Rod	me
his three-point shot gives the Roadrunners their first lead of the game.	their first lead of the game	the Roadrunners
I'm just a humble peddler offering a cure to an ailing world.	a cure	to an ailing world
I only give pigs to early risers.	pigs	to early risers
My father gave it to me for my sixth birthday.	it	to me
Now get out there and give 'em a hand gettin' that firewood.	a hand gettin '	'em
I will give you a life for a life.	a life	you
"If I'd come to your room, you would've given me the dresses free."	the dresses	me
"Nina, I could tell you stories."	stories	you
I should fine you $25 for illegal equipment.	$25 	you
Just give me a minute to stretch.	a minute to stretch	me
Ronald gave me Kenneth's number  It's here  If you want to know ...	Kenneth 's number  	me
"And let me tell you this, General:  These impossible people...   are in an impossible place  doing totally impossible work."	this	you
"So, what are you and Shelby going to the dance as?"	what	to the dance
"Oh, I gave it away to some jerk"	it	to some jerk
I can't get you the car back...  even if I wanted to!	the car	you
So tell me his name!	his name	me
I should have given them the day off.	the day	them
I got them things out of here.	things	them
I shall see myself to my room.	myself	to my room
You always tell me that.	that	me
Are you gonna drive me to her house afterwards?	me	to her house
