gold	backtranslated
Do any of you know where he lives?	Does anyone know where he lives
Tom didn't take his sunglasses off.	Tom didn't take off his sunglasses
She pinched him.	She pinched him.
Toucans regulate their body temperature by adjusting the flow of blood to their beak.	Toucans regulate their body temperature by adjusting blood flow to the beak.
You can trust him to keep his word.	You can count on him to keep his word
What do you want to give her?	What do you want to
Tom didn't take his sunglasses off.	Tom didn't take off his sunglasses
Tom admitted that he had been defeated.	Tom admitted that he had been defeated.
I was denied access to his land.	I was denied access to his land.
You didn't tell him anything?	You didn't tell
He professes that he had no connection with that affair.	He claims he had nothing to do with this.
If there are no dogs in heaven, then when I die I want to go where they went.	If there are no dogs in heaven, then when I die I want to go
Tom doesn't know how to tie his shoelaces.	Tom can't tie his shoelaces.
She's faking sleep. That's why she's not snoring.	He pretends to be asleep, that's why he doesn
I can hear Tom playing guitar in his bedroom.	I can hear Tom playing guitar in his bedroom.
Did you ring him yesterday?	Did you call him yesterday
I'll find them.	I'll find
The cherry blossoms are at their best in April.	Cherry blossoms are at their best in April.
Tom jumped on his horse and rode off.	Tom jumped on his horse and rode away.
Few things can compare to the joy on your child's face as they open their Christmas presents.	Few things compare to the joy in your child's face when they open their Christmas presents.
She's two years older than him.	He's two years older than
Saturn devoured his children.	Saturn ate his children.
I attended his funeral.	I attended his funeral.
You say Nessie is an imaginary being, but I think she exists.	You say Nessie is a fictional creature, but I think she exists.
They treat their employees well.	They treat their employees well.
It's none of his business.	It's none of
He's tired after his German classes.	He's tired after his German lessons.
Who hasn't dreamt of having their own personal chef?	Who hasn't dreamt of having their own
It is easy for him to carry the stone.	It's easy for him to
He showed me his picture.	He showed me his picture
After Tom's family moved to Australia, he started wetting the bed again.	When Tom's family moved to Australia, he started wetting the bed
Tom is a language genius who speaks 10 languages fluently, but he's really bad at maths and can't even solve a simple first-order equation.	Tom is a language genius who speaks ten languages fluently, but is really bad at math and can't even solve a simple first-order equation.
His bushy brows accented his face.	His thick eyebrows stressed his face.
I'm waiting for him to return.	I look forward to his
Tom has changed his mind.	Tom has changed his mind
I'm sure that she's correct.	I'm sure he
He is her friend.	She's his friend
Tom left his clothes lying all over the floor.	Tom left his clothes lying all over the floor.
I'll rip your fucking balls off if you ever as much as look her way.	I'll rip your balls off if you even look in his direction
Tom was determined to get rid of his pot belly.	Tom had decided to get rid of his pot belly.
I know his secret.	I know his secret.
Many college students use computers to write their papers.	Many college students use computers to write their papers.
Tom says that he's never been arrested.	Tom says he's never been arrested.
It is said that he wrote this book.	He is said to have written this
The room was light enough for her to read the letter.	The room was bright enough for him to read the letter
Tom slipped the money in his pocket.	Tom slipped the money into his pocket.
The politician did not keep his promise.	The politician did not keep his promise.
Tom lost his colleagues' trust.	Tom lost the trust of his colleagues
Tell Tom you want him to go.	Tell Tom you want him to leave.
Tom said that he did nothing wrong and that it wasn't his fault.	Tom said he didn't do anything wrong and it wasn't his
She was ready to give him back all his money.	He was willing to give all his money back
The moment I saw him, I knew he was angry with me.	As soon as I saw her, I knew she was mad at
Why are planets round? Why aren't they shaped like cubes, pyramids, or discs?	Why are planets round and why aren't they shaped like cubes, pyramids, or wafers?
Release him.	Release him.
"""I'm going to marry him."" ""You're not,"" said her father."	"""I'm going to marry him."" ""No, you're"
Tom was in his underwear.	Tom was in his underwear.
How beautiful she is!	How beautiful she is!
She acknowledged her mistake.	He confessed his mistake.
Tom is an artist like his father.	Tom is an artist just like his
Tom saw Mary driving her new car.	Tom saw Mary driving her new car.
She stammers when she feels nervous.	He stutters when he feels nervous.
The boy over there is his brother.	That boy over there is his brother
I'm sure that he will take part in the contest.	I'm sure he'll be
Tom never goes anywhere without his phone.	Tom never goes anywhere without his phone.
No, Tom has been this whiny ever since he was a kid.	No, Tom's been complaining like this since
