gold	backtranslated
In their family, they have always been farmers from father to son.	In their family, they have always been farmers from father to son.
I'll kill all of them.	I'll kill them all
I had a chance to meet him in Paris.	I had the opportunity to meet him in Paris.
If she wasn't at the office yesterday, she was probably at home.	If she wasn't in the office yesterday, she was probably home.
John writes a letter to his parents once a month.	John writes a letter to his parents once a month.
You need to find her.	You have to find her
I believe they're a perfect match.	I think it's a perfect match.
She put sheets on her bed.	She put sheets on her bed.
She's pleased at his success.	She is happy with her success.
Sometimes, authors translate their own text.	Sometimes authors translate their own text.
He gave away about one-tenth of his income to the poor.	He gave about a tenth of his income to the poor.
Always try to place your pieces on the squares where they can be most effective.	Always try to place your pieces on the squares where they can be most effective.
He lifted him in the air.	He lifted it up in the air.
Call the doctor so that he confirms the appointment.	Call the doctor to confirm the appointment.
They never say anything about their family.	They never say anything about their family.
She met him only recently.	She only met him recently.
Let him do what he wants.	Let him do what he wants.
She gave him a kick in the balls.	She kicked him in the balls
They see her.	They see her.
He gives me a bad time, as he always does.	He gives me a bad time, as he always does.
Tom put on his coat and left.	Tom put on his coat and left.
Her company grew so quickly that she began franchising.	Her business grew so fast that she started franchising.
Tom said he wished he were a fish.	Tom said he would have liked to be a fish.
Did you tell Tom he could borrow your car?	You told Tom he could borrow your car
The gentleman best knows himself the value of his own life.	The gentleman knows better himself the value of his own
No one doubts her fitness for the post.	No one doubts his suitability for the job.
He strongly persisted in arguing his opinion.	He persisted strongly in arguing his opinion.
Just observe your cat and you will get to know him.	Just observe your cat and you will get to know him
Sami told Layla that he had been waiting all his life to meet a girl like her.	Sami told Layla that he had waited all his life to meet a girl like her.
Did he lose consciousness?	Has he lost consciousness?
Her husband doesn't even know why she died.	Her husband doesn't even know why she died.
She wasn't polite to him.	She wasn't polite to him.
In Kabylia they speak Kabyle.	In Kabylia, they speak Kabyle.
Stop! You're making him cry.	Stop, you're making him cry
Maybe he likes you, too.	Maybe he likes you too
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.	People will accept your idea much more easily if you tell them that Benjamin Franklin said it in the first place
They said they'll quit doing that.	They said they would stop doing that.
He who fights with monsters should look to it that he himself does not become a monster. And when you gaze long into an abyss the abyss also gazes into you.	He who fights monsters must see to it that he himself does not become a monster. And when you look long into an abyss, the abyss also looks at you.
She took off her old shoes and put on the new ones.	She took off her old shoes and put on new ones.
He has to have his blood pressure taken every day.	He must have his blood pressure taken every day.
You shouldn't talk to him.	You shouldn't talk to him
"The United States have been dubbed the ""world policeman"", but some American intellectuals do not hesitate to call their own country ""rogue state."""	The United States has been dubbed the “world policeman,” but some American intellectuals do not hesitate to call their own country a “rogue state.”
If he'd been there, he'd have told you to mind your manners.	If he had been there, he would have told you to take care of your manners.
Does she work in the kitchen?	Does she work in the kitchen?
It's not his.	It's not his.
I decided to take his side against the others.	I decided to take his side against the others.
The idea is typical of him.	The idea is typical of him.
My father doesn't waste his time.	My father is not wasting his time
He promised me that he would come at four.	He promised me he'd come at four o'clock.
She said she has an idea.	She said she had an idea.
She witnessed him being killed.	She saw him get killed.
White: rook on a1, pawn on b6, king on c8. Black: pawns on a7 and b7, king on a8, bishop on b8. White puts the opponent in zugzwang by playing the rook to a6, after which Black has only two options: take the rook on a6 or move his bishop to any other square on the diagonal b8-h2. In the first case, White advances his pawn from b6 to b7 and checkmates. In the second situation, the white rook takes the black pawn on a7, with the same result.	White: turn on a1, pawn on b6, king on c8. Black: pawns on a7 and b7, king on a8, bishop on b8. White puts the opponent in zugzwang by playing the tower on a6, after which Black has only two options: take the tower on a6 or move his bishop on any other square on the diagonal b8-h2. In the first case, White advances his pawn from b6 to b7.
Can someone bring them for you if you need them?	Can someone bring them to you if you need them?
